Open.Houses,Change.Date,Change.Type,Photo,MLS,AR,Type,S,Address,City,BR,Baths.FTHQ.,SqFt,LP...SqFt,LP,SP,HOD,Lot.Sz,YB,DOM,latitude,longitude,unit_count
,02/03/2021,Leased,,CV21023360MR,1627,LSE,LD,6651   Brighton PL ,RANCHO CUCAMONGA,3,2.00 (2 0 0 0),1160,$2.07,"$2,400","$2,400",,"4,067",1988.0,0,34.133558,-117.5951118,
,03/09/2021,Leased,17.0,CV21023777MR,469,LSE,LD,960  E Bonita AVE #116,POMONA,1,1.00 (1 0 0 0),680,$2.35,"$1,600","$1,600",,"354,884",1979.0,33,34.0960889,-117.7338404,
,03/14/2021,Leased,28.0,CV21023900MR,1543,LSE,LD,2898  E Via Fiano  ,ONTARIO,3,3.00 (2 0 1 0),1462,$1.71,"$2,495","$2,495",,"1,462",2016.0,9,,,
,02/20/2021,Leased,9.0,CV21026208MR,487,LSE,LD,908   Grove CT ,CLAREMONT,3,3.00 (3 0 0 0),1510,$1.82,"$2,750","$2,750",,"31,118",2014.0,5,34.10371875035262,-118.27422918976256,
,03/22/2021,Leased,19.0,CV21031422MR,469,LSE,LD,960  E Bonita AVE #150,POMONA,2,2.00 (2 0 0 0),955,$2.04,"$1,950","$1,800",,"354,884",1979.0,34,34.0960889,-117.7338404,
,03/01/2021,Leased,65.0,CV21032521MR,487,LSE,LD,754  W 1st ST ,CLAREMONT,3,3.00 (2 0 1 0),1450,$1.90,"$2,750","$2,750",$310.00,"19,700",2004.0,7,34.0945822,-117.7189063,
,02/28/2021,Leased,12.0,CV21032856MR,1543,LSE,LD,603   W. D ST #B,ONTARIO,1,1.00 (1 0 0 0),822,$1.93,"$1,585","$1,585",$0.00,900,1959.0,9,34.0669112,-117.6585973,
,03/02/2021,Leased,25.0,CV21035145MR,1795,LSE,LD,1532   Spyglass DR ,UPLAND,3,2.00 (2 0 0 0),1637,$1.68,"$2,750","$2,900",,"6,534",1998.0,5,34.1195621,-117.6236468,
,03/27/2021,Leased,24.0,CV21041660MR,1795,LSE,LD,1534   Upland Hills DR ,UPLAND,3,3.00 (3 0 0 0),2018,$1.39,"$2,800","$2,800",,"2,018",1998.0,10,34.1227732,-117.6290717,
,03/18/2021,Leased,28.0,CV21052333MR,469,LSE,LD,2410  N Towne AVE #21,POMONA,2,2.00 (2 0 0 0),1018,$1.92,"$1,950","$1,950",,"202,945",1987.0,6,34.0873229,-117.7372635,
,03/31/2021,Leased,19.0,CV21053584MR,1627,LSE,LD,8542   Cava DR ,RANCHO CUCAMONGA,4,3.00 (2 0 1 0),1848,$1.35,"$2,499","$2,499",$242.00,"2,861",2014.0,9,34.1008237,-117.618179,
,03/20/2021,Leased,14.0,CV21054285MR,469,LSE,LD,714  E Monterey AVE ,POMONA,2,1.00 (1 0 0 0),1100,$1.50,"$1,650","$1,650",$0.00,"6,460",1929.0,2,34.0607751,-117.7366732,
,05/16/2021,Leased,6.0,CV21055384MR,1627,LSE,LD,10151   Arrow  #95,RANCHO CUCAMONGA,2,1.00 (1 0 0 0),880,$1.99,"$1,750","$1,750",,880,1986.0,30,34.0991961,-117.5831635,
,05/28/2021,Leased,3.0,CV21057442MR,1543,LSE,LD,603  W D ST ,ONTARIO,1,18.00 (18 0 0 0),809,$1.96,"$1,585","$1,585",$0.00,"1,000",1959.0,70,34.0669112,-117.6585973,
,04/10/2021,Leased,45.0,CV21058079MR,487,LSE,LD,732  W 1st ST ,CLAREMONT,3,3.00 (3 0 0 0),1658,$1.87,"$3,100","$3,100",$310.00,"22,696",2004.0,13,,,
,04/03/2021,Leased,6.0,CV21058963MR,1627,LSE,LD,10151   Arrow  #75,RANCHO CUCAMONGA,1,1.00 (1 0 0 0),708,$2.26,"$1,600","$1,600",,708,1986.0,8,34.0991961,-117.5831635,
,04/04/2021,Leased,43.0,CV21059251MR,1795,LSE,LD,652   Central AVE ,UPLAND,3,4.00 (3 0 1 0),1976,$1.49,"$2,950","$2,950",,938,2016.0,13,34.0960709,-117.6895691,
,04/15/2021,Leased,13.0,CV21061578MR,1543,LSE,LD,1425  W Stoneridge CT #E,ONTARIO,1,1.00 (1 0 0 0),650,$2.08,"$1,350","$1,350",$0.00,"13,500",1962.0,15,34.0644732,-117.6773527,
,05/18/2021,Leased,13.0,CV21061600MR,1795,LSE,LD,888  N Palm AVE #7,UPLAND,3,2.00 (1 1 0 0),1150,$1.65,"$1,900","$1,900",$0.00,"22,446",1962.0,36,34.1048808,-117.6537115,
,05/03/2021,Leased,17.0,CV21067537MR,1627,LSE,LD,9439   Retreat PL ,RANCHO CUCAMONGA,4,3.00 (3 0 0 0),1538,$2.08,"$3,200","$3,200",,"1,000",2019.0,18,34.0813546,-117.5626775,
,04/19/2021,Leased,31.0,CV21067947MR,1627,LSE,LD,8022   Valle Vista DR ,RANCHO CUCAMONGA,3,3.00 (3 0 0 0),1878,$1.52,"$2,850","$2,850",,"1,878",1977.0,14,34.1084022,-117.6203789,
,04/22/2021,Leased,20.0,CV21070108MR,1543,LSE,LD,1020  N Turner AVE #134,ONTARIO,3,3.00 (2 0 1 0),1721,$1.22,"$2,100","$2,100",,"1,721",1994.0,0,,,
,06/18/2021,Leased,31.0,CV21073755MR,469,LSE,LD,2410  N Towne AVE #41,POMONA,2,2.00 (2 0 0 0),1018,$2.16,"$2,200","$2,200",,"202,945",1987.0,61,34.0873229,-117.7372635,
,05/01/2021,Leased,28.0,CV21079723MR,469,LSE,LD,1552   Ledgestone LN ,POMONA,3,3.00 (3 0 0 0),1684,$1.34,"$2,250","$2,250",,"59,382",2006.0,6,34.079082,-117.7199422,
,05/03/2021,Leased,9.0,CV21080534MR,1627,LSE,LD,8685   Calle Del Prado  ,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),700,$2.56,"$1,795","$1,795",,"9,250",1976.0,15,34.1185612,-117.6163047,
,05/06/2021,Leased,24.0,CV21090059MR,1543,LSE,LD,2321  S Magnolia AVE #11E,ONTARIO,2,3.00 (2 0 1 0),1046,$1.82,"$1,900","$1,900",,"1,046",1983.0,4,34.0317119,-117.6718996,
,05/25/2021,Leased,7.0,CV21095431MR,1627,LSE,LD,11248   Terra VIS #83,RANCHO CUCAMONGA,2,3.00 (3 0 0 0),1257,$1.99,"$2,500","$2,450",,"1,300",1989.0,19,34.122837950000005,-117.57428940943151,
,06/21/2021,Leased,11.0,CV21098449MR,1627,LSE,LD,11186   Terra VIS #114,RANCHO CUCAMONGA,3,3.00 (3 0 0 0),1257,$1.83,"$2,300","$2,300",,"1,300",1989.0,35,34.122837950000005,-117.57428940943151,
,05/21/2021,Leased,9.0,CV21100796MR,1543,LSE,LD,1425  W Stoneridge CT #F,ONTARIO,1,1.00 (1 0 0 0),650,$2.19,"$1,425","$1,425",$0.00,650,1962.0,7,34.0644732,-117.6773527,
,05/20/2021,Leased,9.0,CV21101230MR,1627,LSE,LD,9356   19th ST #G,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1235,$2.02,"$2,500","$2,550",$0.00,"2,000",1988.0,3,34.1327732,-117.601588,
,06/02/2021,Leased,12.0,CV21101584MR,469,LSE,LD,2013   Las Vegas AVE #8,POMONA,1,1.00 (1 0 0 0),600,$2.17,"$1,300","$1,300",$0.00,"19,466",1963.0,7,34.0839548,-117.7509103,
,06/02/2021,Leased,18.0,CV21102444MR,469,LSE,LD,868   Seville LN ,POMONA,2,3.00 (3 0 0 0),1070,$2.34,"$2,500","$2,500",,"23,955",2017.0,13,,,
,06/29/2021,Leased,9.0,CV21102464MR,1543,LSE,LD,1672  E Harvard PL ,ONTARIO,4,4.00 (3 0 1 0),1910,$1.41,"$2,700","$2,750",,"87,120,000",2017.0,19,34.0784587,-117.618199,
,06/08/2021,Leased,2.0,CV21108643MR,1627,LSE,LD,11450   Church ST #21,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),1304,$1.76,"$2,300","$2,300",,"1,304",2004.0,18,34.1099471,-117.5562877,
,06/05/2021,Leased,15.0,CV21110987MR,1795,LSE,LD,1504   Amsterdam CT ,UPLAND,3,3.00 (2 0 1 0),1686,$1.48,"$2,500","$2,500",,"1,150",2007.0,11,34.1072681,-117.6779297,
,06/16/2021,Leased,18.0,CV21112757MR,1627,LSE,LD,10552   Wells DR ,RANCHO CUCAMONGA,4,3.00 (3 0 0 0),1538,$1.76,"$2,700","$2,850",,"1,200",2019.0,3,,,
,06/08/2021,Leased,8.0,CV21114617MR,1543,LSE,LD,1233  W 4th ST #D,ONTARIO,2,2.00 (2 0 0 0),895,$1.89,"$1,695","$1,695",$0.00,"7,200",1978.0,11,34.0777709,-117.6734412,
,06/14/2021,Leased,19.0,CV21117012MR,1795,LSE,LD,1683   N. Mountain AVE #A,UPLAND,2,2.00 (2 0 0 0),1218,$1.72,"$2,100","$2,100",,"2,190",1980.0,10,34.1247006,-117.6704075,
,06/09/2021,Leased,1.0,CV21117869MR,469,LSE,LD,960  E Bonita AVE #69,POMONA,1,1.00 (1 0 0 0),680,$2.46,"$1,675","$1,675",,"354,884",1979.0,5,34.0960889,-117.7338404,
,06/12/2021,Leased,12.0,CV21119788MR,469,LSE,LD,2776   Fina ST ,POMONA,3,4.00 (3 0 1 0),2026,$1.38,"$2,800","$2,800",,"23,955",2017.0,6,,,
,06/15/2021,Leased,63.0,CV21121709MR,487,LSE,LD,670  W 1st ST ,CLAREMONT,3,3.00 (3 0 0 0),1658,$1.96,"$3,250","$3,250",,,2004.0,9,34.0945822,-117.7189063,
,06/15/2021,Leased,17.0,CV21122753MR,1627,LSE,LD,7344   Greenhaven AVE #U23,RANCHO CUCAMONGA,3,3.00 (3 0 0 0),1403,$1.60,"$2,250","$2,250",$174.00,"2,657",1990.0,0,34.120586,-117.5745235,
,06/14/2021,Leased,12.0,CV21124433MR,1543,LSE,LD,1210  S Cypress AVE #D,ONTARIO,2,2.00 (1 0 1 0),1302,$1.57,"$2,050","$2,050",,"1,302",1981.0,4,34.0508216,-117.6633654,
,06/15/2021,Leased,49.0,CV21125117MR,1627,LSE,LD,8729   Olive Tree DR ,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1793,$1.45,"$2,600","$2,600",,"2,000",2011.0,5,34.106954,-117.6151474,
,08/10/2021,Leased,18.0,CV21129893MR,1455,LSE,LD,10409   Via Palma  ,MONTCLAIR,4,4.00 (3 0 1 0),2303,$1.30,"$3,000","$3,000",$0.00,"1,860",2009.0,2,34.065077,-117.7136421,
,10/24/2021,Leased,15.0,CV21132490MR,1795,LSE,LD,650  N Third AVE #B,UPLAND,1,1.00 (1 0 0 0),809,$2.34,"$1,895","$1,895",$0.00,"1,500",1966.0,127,,,
,07/20/2021,Leased,16.0,CV21135674MR,1795,LSE,LD,1560   Corte Caballo  #25,UPLAND,2,3.00 (2 0 1 0),1522,$1.58,"$2,400","$2,400",,"1,522",1982.0,22,34.0986299,-117.679414,
,08/27/2021,Leased,10.0,CV21140654MR,469,LSE,LD,960  E Bonita AVE #23,POMONA,2,2.00 (2 0 0 0),955,$1.78,"$1,700","$1,700",,"354,884",1979.0,10,34.0960889,-117.7338404,
,08/03/2021,Leased,10.0,CV21154153MR,1543,LSE,LD,1425  W Stoneridge CT #H,ONTARIO,1,1.00 (1 0 0 0),650,$2.23,"$1,450","$1,450",$0.00,650,1962.0,13,34.0644732,-117.6773527,
,07/29/2021,Leased,8.0,CV21154171MR,469,LSE,LD,2013   Las Vegas AVE #14,POMONA,2,2.00 (2 0 0 0),800,$1.94,"$1,550","$1,550",$0.00,"19,466",1963.0,9,34.0839548,-117.7509103,
,07/28/2021,Leased,38.0,CV21155741MR,1627,LSE,LD,10151   Arrow  #81,RANCHO CUCAMONGA,1,1.00 (1 0 0 0),708,$2.33,"$1,650","$1,650",,708,1986.0,1,34.0991961,-117.5831635,
,07/26/2021,Leased,22.0,CV21155902MR,1627,LSE,LD,8409   Western Trail PL #D,RANCHO CUCAMONGA,2,3.00 (2 0 1 0),1110,$1.89,"$2,100","$2,100",,"1,110",1986.0,10,34.1009182,-117.5831744,
,07/23/2021,Leased,16.0,CV21158615MR,1627,LSE,LD,8536   Baldy Vista DR ,RANCHO CUCAMONGA,2,1.00 (1 0 0 0),785,$2.54,"$1,995","$1,995",,"2,000",1986.0,3,34.0990221,-117.6183754,
,07/30/2021,Leased,30.0,CV21159735MR,487,LSE,LD,1649   Albany CT ,CLAREMONT,3,3.00 (3 0 0 0),1901,$1.47,"$2,800","$2,800",,"2,622",1981.0,5,34.1133024,-117.7007171,
,07/31/2021,Leased,9.0,CV21161332MR,487,LSE,LD,908   Grove CT ,CLAREMONT,3,3.00 (3 0 0 0),1510,$1.89,"$2,850","$2,850",,"31,118",2014.0,4,34.10371875035262,-118.27422918976256,
,08/01/2021,Leased,8.0,CV21162644MR,1455,LSE,LD,4424   San Jose ST #22,MONTCLAIR,3,3.00 (2 0 1 0),1556,$1.41,"$2,200","$2,250",,"1,556",1981.0,2,34.085333,-117.7080408,
,08/09/2021,Leased,14.0,CV21165412MR,487,LSE,LD,1365   Lafayette RD #C,CLAREMONT,2,1.00 (1 0 0 0),900,$2.19,"$1,975","$1,975",$0.00,"13,426",2010.0,0,34.1087966,-117.7255998,
,08/28/2021,Leased,19.0,CV21169754MR,1543,LSE,LD,2944  E Via Fiano  ,ONTARIO,4,3.00 (2 0 1 0),1749,$1.59,"$2,780","$2,780",,799,2016.0,1,,,
,08/30/2021,Leased,39.0,CV21170997MR,487,LSE,LD,602   Mckenna ST ,CLAREMONT,3,3.00 (2 0 1 0),1470,$2.04,"$3,000","$3,000",,"49,352",2006.0,7,34.099957700000004,-117.70617915411111,
,08/10/2021,Leased,22.0,CV21172184MR,1627,LSE,LD,7353   Ellena  #3,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),1304,$1.99,"$2,600",$260,,"1,304",2003.0,3,34.1194217,-117.5561813,
,08/19/2021,Leased,21.0,CV21177651MR,1795,LSE,LD,484   Corte Blanco  #54,UPLAND,3,2.00 (2 0 0 0),1386,$1.84,"$2,550","$2,550",,"1,386",1982.0,2,34.0993183,-117.6779686,
,08/24/2021,Leased,20.0,CV21179868MR,487,LSE,LD,617   Mckenna ST ,CLAREMONT,3,4.00 (3 0 1 0),1430,$2.27,"$3,250","$3,250",$310.00,"20,194",2007.0,8,34.099957700000004,-117.70617915411111,
,09/10/2021,Leased,4.0,CV21186724MR,1627,LSE,LD,9869   Amalfi WAY ,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1288,$2.17,"$2,790","$2,790",,"2,000",1984.0,6,34.1108041,-117.5896123,
,09/20/2021,Leased,11.0,CV21189470MR,1543,LSE,LD,1425  W Stoneridge CT #L,ONTARIO,1,1.00 (1 0 0 0),800,$1.81,"$1,450","$1,450",$0.00,"13,500",1962.0,19,34.0644732,-117.6773527,
,10/06/2021,Leased,19.0,CV21189730MR,1455,LSE,LD,8861   ASH  #L,MONTCLAIR,3,3.00 (2 0 1 0),1410,$1.81,"$2,550","$2,550",,"1,100",2018.0,36,,,
,09/03/2021,Leased,24.0,CV21190279MR,487,LSE,LD,618   Mckenna ST ,CLAREMONT,3,3.00 (3 0 0 0),1450,$2.03,"$2,950","$2,950",,"49,352",2006.0,7,34.099957700000004,-117.70617915411111,
,09/27/2021,Leased,16.0,CV21196557MR,1455,LSE,LD,8870   Camphor  #E,MONTCLAIR,2,3.00 (2 0 1 0),1436,$1.81,"$2,600","$2,600",,"1,436",2016.0,18,,,
,09/16/2021,Leased,15.0,CV21200928MR,1543,LSE,LD,2242  S Greenwood PL #A,ONTARIO,2,3.00 (2 0 1 0),1061,$2.07,"$2,200","$2,200",,"1,061",1983.0,3,,,
,09/25/2021,Leased,12.0,CV21205363MR,1543,LSE,LD,1946  E 5th ST ,ONTARIO,3,3.00 (2 0 1 0),1345,$1.78,"$2,400","$2,400",,"1,313",1980.0,7,34.0812043,-117.6066841,
,10/15/2021,Leased,10.0,CV21208407MR,469,LSE,LD,960   Bonita  #3,POMONA,1,1.00 (1 0 0 0),535,$2.62,"$1,400","$1,400",,,1979.0,12,34.0960889,-117.7338404,
,10/15/2021,Leased,12.0,CV21208941MR,487,LSE,LD,809   Lancaster DR ,CLAREMONT,2,3.00 (3 0 0 0),1180,$2.03,"$2,400","$2,400",$466.00,"1,254",1984.0,1,34.1182499,-117.6996254,
,10/21/2021,Leased,14.0,CV21217140MR,1795,LSE,LD,888  N Palm AVE #14,UPLAND,3,2.00 (2 0 0 0),1030,$1.99,"$2,050","$2,050",$0.00,"22,446",1962.0,14,34.1048808,-117.6537115,
,11/11/2021,Leased,12.0,CV21220946MR,1543,LSE,LD,601  W D ST #A,ONTARIO,2,1.00 (1 0 0 0),803,$2.22,"$1,785","$1,785",$0.00,"1,000",1959.0,36,34.0669113,-117.6585485,
,10/06/2021,Leased,4.0,CV21221248MR,469,LSE,LD,960  E Bonita AVE #113,POMONA,1,1.00 (1 0 0 0),680,$2.46,"$1,675","$1,675",,"354,884",1979.0,0,34.0960889,-117.7338404,
,10/26/2021,Leased,20.0,CV21221976MR,469,LSE,LD,960  E Bonita AVE #32,POMONA,2,2.00 (2 0 0 0),955,$1.94,"$1,850","$1,850",,"354,884",1979.0,2,34.0960889,-117.7338404,
,10/26/2021,Leased,16.0,CV21224513MR,487,LSE,LD,706  W 1st ST ,CLAREMONT,3,3.00 (3 0 0 0),1658,$1.87,"$3,100","$3,100",,"27,054",2004.0,16,33.93110475,-117.95399371293774,
,11/13/2021,Leased,14.0,CV21227605MR,1543,LSE,LD,1425  W Stoneridge CT #E,ONTARIO,1,1.00 (1 0 0 0),650,$2.23,"$1,450","$1,450",$0.00,"13,500",1962.0,23,34.0644732,-117.6773527,
,10/30/2021,Leased,17.0,CV21229103MR,487,LSE,LD,844   Trinity LN ,CLAREMONT,3,3.00 (3 0 0 0),1837,$1.63,"$3,000","$3,000",,"52,962",1985.0,11,34.1166155,-117.7003474,
,10/27/2021,Leased,30.0,CV21229719MR,1627,LSE,LD,8031   Pueblo PL #108,RANCHO CUCAMONGA,2,3.00 (2 0 1 0),1352,$1.85,"$2,500","$2,500",,"2,314",2006.0,6,34.1078508,-117.5972574,
,07/01/2020,Leased,5.0,DW20094158MR,1543,LSE,LD,1036  N Turner AVE #185,ONTARIO,3,3.00 (2 0 1 0),1721,$1.28,"$2,200","$2,300",,"1,721",1996.0,30,,,
,06/25/2021,Leased,17.0,DW21124217MR,1795,LSE,LD,134   Macintosh WAY ,UPLAND,2,3.00 (2 0 1 0),1149,$2.26,"$2,600","$2,600",,567,2017.0,14,34.0931511,-117.6445878,
,02/07/2021,Leased,18.0,EV21010316MR,1543,LSE,LD,508  N Placer Privado  ,ONTARIO,4,3.00 (3 0 0 0),2116,$1.18,"$2,500","$2,500",,"2,047",2005.0,16,,,
,08/02/2020,Leased,,IG20139181MR,1627,LSE,LD,10375   Church ST #15,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),1264,$1.70,"$2,150","$2,150",,"2,000",2009.0,5,34.114177,-117.5781782,
,09/02/2020,Leased,22.0,IG20160882MR,1627,LSE,LD,8334   Branchwood PL ,RANCHO CUCAMONGA,2,2.00 (1 0 1 0),1167,$1.59,"$1,850","$1,850",,"1,450",1984.0,16,34.101941,-117.6114632,
,10/07/2020,Leased,25.0,IG20175959MR,1455,LSE,LD,8823   Jacaranda AVE #D,MONTCLAIR,2,3.00 (2 0 1 0),1410,$1.49,"$2,100","$2,100",,"1,419",2015.0,40,,,
,09/08/2020,Leased,1.0,IG20179032MR,1543,LSE,LD,1309  W Mission BLVD #U-98,ONTARIO,2,1.00 (1 0 0 0),711,$1.90,"$1,350","$1,350",$320.00,645,1988.0,5,34.0558994,-117.6744105,
,09/15/2020,Leased,23.0,IG20182017MR,1627,LSE,LD,9814   Louise WAY ,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1480,$1.55,"$2,295","$2,175",,"2,000",1985.0,11,34.1120763,-117.5912882,
,10/28/2020,Leased,11.0,IG20202431MR,1543,LSE,LD,1144  W Whittlers LN ,ONTARIO,3,3.00 (2 0 1 0),1346,$1.45,"$1,950","$1,950",,"1,346",1983.0,4,34.0321482,-117.6708172,
,12/30/2020,Leased,29.0,IG20244447MR,1627,LSE,LD,8204   Burgess PL ,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1395,$1.65,"$2,300","$2,300",,"1,395",1989.0,35,34.1047073,-117.6183839,
,02/05/2021,Leased,19.0,IG21009171MR,1627,LSE,LD,7353   Ellena  #122,RANCHO CUCAMONGA,2,1.00 (1 0 0 0),1092,$1.74,"$1,895","$1,895",,"1,092",2003.0,18,34.1194217,-117.5561813,
,02/02/2021,Leased,30.0,IG21010350MR,487,LSE,LD,684   Sycamore AVE #6,CLAREMONT,2,3.00 (2 0 1 0),1263,$1.67,"$2,110","$2,110",,"145,117",1982.0,9,34.0835156,-117.7103915,
,03/23/2021,Leased,23.0,IG21043948MR,1627,LSE,LD,7613   Haven AVE #B,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),1012,$2.22,"$2,250","$2,250",,"2,000",1991.0,19,34.1156724,-117.5757712,
,05/03/2021,Leased,19.0,IG21070203MR,1627,LSE,LD,7208   Hermosa AVE ,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1286,$1.71,"$2,200","$2,200",,"1,500",1986.0,3,34.1236485,-117.584561,
,04/26/2021,Leased,14.0,IG21070987MR,1795,LSE,LD,7 1423  1423 W 7th St ,UPLAND,2,1.00 (1 0 0 0),994,$1.76,"$1,750","$1,750",,994,1974.0,9,34.1151225,-117.65584714602136,
,05/01/2021,Leased,23.0,IG21077687MR,1627,LSE,LD,11450   Church ST #100,RANCHO CUCAMONGA,2,2.00 (1 1 0 0),1089,$1.84,"$2,000","$2,000",,"1,089",2004.0,4,34.1099471,-117.5562877,
,05/17/2021,Leased,20.0,IG21094908MR,1455,LSE,LD,9836   Snowmass DR ,MONTCLAIR,3,3.00 (2 0 1 0),1426,$1.44,"$2,050","$2,050",,"5,000",1981.0,1,34.0757788,-117.6918953,
,05/29/2021,Leased,28.0,IG21095070MR,1627,LSE,LD,9193  W Rancho Park CIR ,RANCHO CUCAMONGA,4,3.00 (3 0 0 0),2001,$1.40,"$2,800","$2,800",,"2,001",2004.0,13,34.0865281,-117.6038369,
,05/17/2021,Leased,27.0,IG21096657MR,1627,LSE,LD,7301   Belpine PL #4,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1224,$1.78,"$2,175","$2,175",,"1,300",1989.0,1,34.121038,-117.560997,
,05/21/2021,Leased,21.0,IG21100783MR,1455,LSE,LD,5106   Aspen DR ,MONTCLAIR,3,3.00 (3 0 0 0),1426,$1.58,"$2,250","$2,100",$0.00,"5,000",1981.0,2,34.07664,-117.6931036,
,06/13/2021,Leased,30.0,IG21115754MR,1627,LSE,LD,11450   Church  ,RANCHO CUCAMONGA,2,2.00 (1 0 1 0),1089,$1.97,"$2,150","$2,150",,"1,089",2004.0,3,34.1099471,-117.5562877,
,07/10/2021,Leased,23.0,IG21124383MR,1627,LSE,LD,11249   Terra VIS #B,RANCHO CUCAMONGA,3,3.00 (3 0 0 0),1423,$1.65,"$2,350","$2,350",,"2,550",1994.0,2,34.122837950000005,-117.57428940943151,
,06/23/2021,Leased,18.0,IG21132774MR,1627,LSE,LD,10002   Baseline RD ,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),1103,$1.90,"$2,100","$2,100",,"1,500",1985.0,3,34.12162,-117.5866925,
,08/14/2021,Leased,25.0,IG21166891MR,1543,LSE,LD,1031  S Palmetto AVE #D6,ONTARIO,2,3.00 (2 0 1 0),1107,$1.99,"$2,200","$2,200",,"1,220",1983.0,13,34.0535325,-117.667562,
,09/07/2021,Leased,2.0,IG21175128MR,1543,LSE,LD,1034  E 6th ST #U702,ONTARIO,2,3.00 (2 0 1 0),965,$2.07,"$2,000","$2,000",,965,1991.0,14,34.085175,-117.633198,
,09/02/2021,Leased,12.0,IG21185198MR,1627,LSE,LD,8167   Vineyard AVE ,RANCHO CUCAMONGA,2,2.00 (1 0 1 0),932,$1.93,"$1,800","$1,800",,932,1989.0,3,34.104955,-117.6109537,
,09/30/2021,Leased,22.0,IG21200785MR,1543,LSE,LD,1031  S Palmetto AVE #M9,ONTARIO,3,3.00 (2 0 1 0),1034,$2.32,"$2,400","$2,400",,"1,034",1986.0,4,34.0535325,-117.667562,
,07/08/2020,Leased,6.0,IV20043757MR,1795,LSE,LD,634   Central AVE ,UPLAND,2,4.00 (3 0 1 0),2279,$1.01,"$2,300","$2,300",$0.00,965,2016.0,57,34.0937802,-117.6895454,
,12/02/2020,Leased,24.0,IV20063280MR,1627,LSE,LD,11660   Church ST #15,RANCHO CUCAMONGA,2,3.00 (2 0 1 0),1092,$2.08,"$2,270","$2,554",$0.00,"1,300",2007.0,7,34.1129565,-117.5493933,
,07/06/2020,Leased,9.0,IV20073964MR,1627,LSE,LD,8558   Stoneside DR ,RANCHO CUCAMONGA,2,1.00 (1 0 0 0),800,$2.62,"$2,095","$1,995",,"2,000",1986.0,78,34.0983992,-117.6182831,
,07/08/2020,Leased,1.0,IV20088336MR,1627,LSE,LD,9600   Lomita CT #105J,RANCHO CUCAMONGA,1,1.00 (1 0 0 0),642,$2.41,"$1,550","$1,550",$0.00,"164,221",1987.0,61,34.123943,-117.595882,
,07/13/2020,Leased,7.0,IV20115004MR,1543,LSE,LD,1217  S Palmetto AVE #C,ONTARIO,2,2.00 (1 0 1 0),1302,$1.46,"$1,900","$1,900",$0.00,"1,302",1981.0,17,34.050967,-117.6675269,
,07/20/2020,Leased,26.0,IV20117987MR,1627,LSE,LD,9829   Allesandro CT ,RANCHO CUCAMONGA,2,2.00 (2 0 0 0),1085,$2.05,"$2,225","$2,250",,"2,000",1983.0,11,34.108724,-117.5907425,
,07/08/2020,Leased,40.0,IV20127602MR,487,LSE,LD,739   Danville DR ,CLAREMONT,2,3.00 (2 0 1 0),1180,$1.86,"$2,200","$2,200",,"1,265",1985.0,5,34.1190527,-117.7008037,
,07/16/2020,Leased,21.0,IV20133177MR,1543,LSE,LD,710  N Via Dolcetto  ,ONTARIO,4,3.00 (2 0 1 0),1749,$1.34,"$2,350","$2,350",,100,2016.0,9,,,
,08/10/2020,Leased,13.0,IV20133417MR,1543,LSE,LD,926  W Philadelphia ST #84,ONTARIO,2,3.00 (2 0 1 0),932,$1.93,"$1,795","$1,795",$0.00,932,1990.0,33,34.0338166,-117.6660422,
,07/29/2020,Leased,20.0,IV20139514MR,1627,LSE,LD,"8990   19th Street, #336  ",ALTA LOMA,0,1.00 (1 0 0 0),494,$2.73,"$1,350","$1,350",,,1981.0,6,34.1327389,-117.6088091,
,08/04/2020,Leased,26.0,IV20149606MR,1627,LSE,LD,7688   Broadmoor PL ,RANCHO CUCAMONGA,3,3.00 (2 0 1 0),1248,$1.76,"$2,195","$2,195",$0.00,"3,439",1988.0,4,34.1148027,-117.574153,
,08/10/2020,Leased,10.0,IV20153418MR,1795,LSE,LD,144   Sinclair AVE #1,UPLAND,2,1.00 (1 0 0 0),810,$1.85,"$1,500","$1,500",,700,1971.0,10,34.0935364,-117.672533,
,10/20/2020,Leased,13.0,IV20171468MR,487,LSE,LD,775   Danville DR ,CLAREMONT,2,3.00 (1 0 2 0),1154,$1.73,"$1,995","$1,995",$0.00,"1,249",1985.0,60,34.1189437,-117.7004007,
,09/25/2020,Leased,27.0,IV20174086MR,1627,LSE,LD,10575   Cannon DR ,RANCHO CUCAMONGA,4,3.00 (3 0 0 0),1538,$1.69,"$2,600","$2,600",$0.00,,2020.0,18,34.15891592426657,-117.56918570201678,
