"Open.Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths.FTHQ.","SqFt","LP...SqFt","LP","SP","HOD","Lot.Sz","YB","DOM","X..of.Units","Change.Date"
NA,31,"CV18223567MR",1543,"INC","S","840 - 842 E D ST ","ONTARIO",NA,"3.00 (0 0 0 0)","1,766","$311.44","$550,000","$560,000","","6,300",1913,9,2,"11/01/2018"
NA,14,"CV18234155MR",1543,"INC","S","612  W Maitland ST ","ONTARIO",NA,"2.00 (0 0 0 0)","2,160","$219.91","$475,000","$464,000","","7,700",1964,15,2,"10/15/2018"
NA,35,"CV18246137MR",487,"INC","S","1175   Baughman DR ","CLAREMONT",NA,"4.00 (0 0 0 0)","2,140","$383.18","$820,000","$835,000","$0.00","11,475",1956,30,2,"12/05/2018"
NA,47,"CV18247671MR",1455,"INC","S","5140   Howard ST ","MONTCLAIR",NA,"2.00 (0 0 0 0)","1,800","$291.67","$525,000","$530,000","","7,808",1963,7,2,"11/01/2018"
NA,22,"CV18255346MR",1543,"INC","S","1103  E Princeton ST ","ONTARIO",NA,"2.00 (0 0 0 0)","1,800","$252.78","$455,000","$455,000","","8,610",1933,11,2,"01/11/2019"
NA,16,"CV18268655MR",1543,"INC","S","135  N Miramonte AVE #AB","ONTARIO",NA,"3.00 (0 0 0 0)","1,550","$322.52","$499,900","$478,000","","6,650",1922,26,3,"01/07/2019"
NA,29,"CV18270388MR",1795,"INC","S","555  E 24th ST ","UPLAND",NA,"4.00 (0 0 0 0)","3,096","$298.77","$924,999","$962,000","","20,803",1957,7,4,"01/08/2019"
NA,26,"CV18270822MR",1543,"INC","S","757  E 5th ST ","ONTARIO",NA,"2.00 (0 0 0 0)","1,124","$362.01","$406,900","$407,000","$0.00","7,524",1950,111,2,"04/15/2019"
NA,16,"CV18275426MR",1543,"INC","S","135  N Miramonte AVE #AB","ONTARIO",2,"3.00 (3 0 0 0)","1,550","$322.52","$499,900","$478,000","$0.00","6,650",1922,26,1,"01/07/2019"
NA,31,"CV18276892MR",1627,"INC","S","8243   9th ST #A & B","RANCHO CUCAMONGA",NA,"4.00 (0 0 0 0)","1,792","$270.65","$485,000","$485,000","$0.00","6,960",1965,95,2,"04/02/2019"
NA,6,"CV18277537MR",469,"INC","S","631   Abbey LN ","POMONA",NA,"4.00 (0 0 0 0)","3,592","$194.60","$699,000","$700,000","$0.00","7,199",1961,14,0,"02/22/2019"
NA,5,"CV18284955MR",469,"INC","S","551  E Pasadena ST ","POMONA",NA,"2.00 (0 0 0 0)","1,914","$248.17","$475,000","$425,000","$0.00","8,987",1937,2,2,"01/14/2019"
NA,15,"CV18293925MR",469,"INC","S","1047  W 8th ST ","POMONA",NA,"4.00 (0 0 0 0)","3,500","$234","$819,000","$805,000","","9,499",1964,88,4,"06/05/2019"
NA,9,"CV18295568MR",1455,"INC","S","4601   Kingsley  ","MONTCLAIR",NA,"2.00 (0 0 0 0)","1,728","$271.88","$469,800","$460,000","","7,200",1963,11,2,"02/26/2019"
NA,9,"CV19007226MR",469,"INC","S","689  W 11TH ST ","POMONA",NA,"2.00 (0 0 0 0)","1,384","$372.11","$515,000","$500,000","","6,576",1939,24,2,"04/22/2019"
NA,38,"CV19009828MR",469,"INC","S","615   Karesh AVE ","POMONA",NA,"6.00 (0 0 0 0)","3,838","$234.50","$900,000","$885,000","$0.00","7,206",1960,0,6,"02/27/2019"
NA,19,"CV19010528MR",1795,"INC","S","508  N 1st AVE ","UPLAND",3,"2.00 (2 0 0 0)","1,772","$324.49","$575,000","$575,000","$0.00","7,840",1919,103,NA,"06/20/2019"
NA,1,"CV19022233MR",469,"INC","S","387  E Kingsley AVE ","POMONA",NA,"3.00 (0 0 0 0)","3,132","$197.96","$620,000","$635,000","","9,426",1908,10,3,"03/08/2019"
NA,19,"CV19023214MR",1795,"INC","S","508  N 1st AVE ","UPLAND",NA,"3.00 (0 0 0 0)","1,772","$324.49","$575,000","$575,000","","7,840",1919,103,2,"05/30/2019"
NA,5,"CV19027013MR",1543,"INC","S","1012  W F ST ","ONTARIO",NA,"10.00 (0 0 0 0)","5,212","$177.48","$925,000","$1,150,000","","10,935",1970,7,5,"03/04/2019"
NA,32,"CV19035934MR",1543,"INC","S","411  E Nevada ST ","ONTARIO",NA,"3.00 (0 0 0 0)","2,059","$320.50","$659,900","$659,000","","10,800",1915,39,3,"05/01/2019"
NA,31,"CV19036992MR",1795,"INC","S","256   Garnet WAY ","UPLAND",NA,"4.00 (0 0 0 0)","1,984","$402.47","$798,500","$700,000","","8,568",1950,76,4,"06/25/2019"
NA,31,"CV19037375MR",1543,"INC","S","531  W Nevada ST ","ONTARIO",NA,"3.00 (0 0 0 0)","2,750","$281.78","$774,900","$725,000","$0.00","11,340",1946,10,3,"03/15/2019"
NA,31,"CV19037656MR",1543,"INC","S","531  W Nevada ST ","ONTARIO",7,"4.00 (2 2 0 0)","2,750","$281.78","$774,900","$725,000","$0.00","11,340",1946,10,NA,"03/15/2019"
NA,13,"CV19043338MR",469,"INC","S","621  E Kingsley AVE ","POMONA",NA,"4.00 (0 0 0 0)","2,080","$273.99","$569,900","$559,900","","7,074",1939,79,2,"07/09/2019"
NA,16,"CV19046707MR",469,"INC","S","621  E Kingsley AVE ","POMONA",6,"4.00 (4 0 0 0)","2,080","$273.99","$569,900","$559,900","$0.00","7,074",1939,83,NA,"07/09/2019"
NA,24,"CV19053028MR",469,"INC","S","1373  S San Antonio AVE ","POMONA",NA,"2.00 (0 0 0 0)","1,520","$328.29","$499,000","$525,000","$0.00","7,999",1924,11,2,"04/26/2019"
NA,14,"CV19055523MR",469,"INC","S","1065  W 9th ST ","POMONA",NA,"3.00 (0 0 0 0)","3,007","$315.60","$949,000","$900,000","","29,181",1961,158,3,"10/17/2019"
NA,11,"CV19064348MR",1543,"INC","S","132  N Pleasant AVE ","ONTARIO",NA,"6.00 (0 0 0 0)","3,502","$318.39","$1,115,000","$1,150,000","","9,648",1949,21,6,"07/03/2019"
NA,5,"CV19073285MR",1543,"INC","S","827  N Palmetto AVE ","ONTARIO",NA,"7.00 (0 0 0 0)","10,210","$257.10","$2,625,000","$2,600,000","","12,640",1966,183,14,"01/20/2020"
NA,12,"CV19085274MR",469,"INC","S","640   Linden ST ","POMONA",NA,"6.00 (0 0 0 0)","3,500","$255.71","$895,000","$895,000","","9,776",1936,4,7,"05/30/2019"
NA,23,"CV19091642MR",1455,"INC","S","10310   Marion AVE ","MONTCLAIR",NA,"2.00 (0 0 0 0)","1,449","$310.39","$449,750","$463,000","","8,050",1961,2,2,"05/20/2019"
NA,46,"CV19102156MR",1795,"INC","S","2460  N Euclid AVE ","UPLAND",NA,"3.00 (0 0 0 0)","2,500","$353.12","$882,800","$800,000","","56,690",1920,37,2,"07/01/2019"
NA,14,"CV19112314MR",469,"INC","S","1065  W 9th ST ","POMONA",12,"6.00 (6 0 0 0)","3,000","$316.33","$949,000","$900,000","$0.00","29,181",1961,96,NA,"10/17/2019"
NA,18,"CV19114887MR",469,"INC","S","1301  S Hamilton BLVD ","POMONA",NA,"2.00 (0 0 0 0)","1,853","$310.31","$575,000","$545,000","","9,231",1964,4,2,"05/16/2019"
NA,40,"CV19119050MR",1543,"INC","S","1266  W J ST ","ONTARIO",NA,"4.00 (0 0 0 0)","3,552","$238.74","$848,000","$848,000","","7,616",1962,1,4,"07/05/2019"
NA,NA,"CV19121789MR",487,"INC","S","535   Yale AVE ","CLAREMONT",NA,"1.00 (0 0 0 0)","1,455","$491.41","$715,000","$715,000","$0.00","7,500",1939,0,2,"05/24/2019"
NA,9,"CV19124051MR",1543,"INC","S","1136  E Flora ST ","ONTARIO",NA,"8.00 (0 0 0 0)","4,592","$215.48","$989,500","$965,000","","9,315",1965,72,4,"11/05/2019"
NA,12,"CV19124924MR",469,"INC","S","1059  S Palomares ST ","POMONA",NA,"3.00 (0 0 0 0)","1,535","$342.02","$525,000","$510,000","","7,768",1916,16,2,"07/18/2019"
NA,11,"CV19127626MR",469,"INC","S","206  E Alvarado ST ","POMONA",NA,"2.00 (0 0 0 0)","14,112","$265.73","$3,750,000","$3,625,000","$0.00","17,859",1928,187,20,"01/31/2020"
NA,11,"CV19132124MR",1543,"INC","S","734  E 5th ST ","ONTARIO",NA,"2.00 (0 0 0 0)","1,385","$353.72","$489,900","$480,000","","6,747",1950,109,2,"10/18/2019"
NA,26,"CV19134490MR",1543,"INC","S","665  E I ST ","ONTARIO",5,"4.00 (3 0 1 0)","2,400","$270.79","$649,888","$659,888","$0.00","12,804",1983,17,NA,"08/08/2019"
NA,26,"CV19142783MR",1543,"INC","S","665  E I ST ","ONTARIO",NA,"4.00 (0 0 0 0)","2,400","$270.79","$649,888","$659,888","$0.00","12,804",1983,17,2,"08/08/2019"
NA,15,"CV19143880MR",1543,"INC","S","638  E Granada CT ","ONTARIO",3,"2.00 (2 0 0 0)","966","$455.38","$439,900","$445,000","$0.00","6,566",1942,8,NA,"09/09/2019"
NA,8,"CV19146446MR",1543,"INC","S","324  W Park ST ","ONTARIO",NA,"2.00 (0 0 0 0)","3,160","$166.14","$525,000","$765,000","$0.00","7,100",1959,2,5,"08/09/2019"
NA,38,"CV19168536MR",1627,"INC","S","8780   Sierra Madre AVE ","RANCHO CUCAMONGA",NA,"4.00 (0 0 0 0)","1,152","$394.97","$455,000","$440,000","$0.00","9,978",1954,52,2,"09/13/2019"
NA,3,"CV19169213MR",469,"INC","S","551  E 12th ST ","POMONA",NA,"2.00 (0 0 0 0)","2,440","$307.38","$750,000","$700,000","","11,041",1956,6,3,"12/20/2019"
NA,21,"CV19173958MR",487,"INC","S","1173   Briarcroft RD ","CLAREMONT",NA,"3.00 (0 0 0 0)","2,503","$305.63","$765,000","$760,000","$0.00","10,270",1956,11,2,"08/29/2019"
NA,17,"CV19178296MR",1795,"INC","S","2595   Blanchard  ","UPLAND",NA,"2.00 (0 0 0 0)","1,025","$408.78","$419,000","$420,000","","7,200",1935,7,2,"10/11/2019"
NA,6,"CV19186425MR",1455,"INC","S","9594   Central AVE ","MONTCLAIR",NA,"2.00 (0 0 0 0)","1,600","$281.19","$449,900","$420,000","$0.00","7,875",1954,108,3,"03/20/2020"
NA,2,"CV19199676MR",1543,"INC","S","214  W Sunkist ST ","ONTARIO",NA,"4.00 (0 0 0 0)","1,714","$309.22","$530,000","$535,000","$0.00","7,200",1933,65,4,"12/24/2019"
NA,19,"CV19212528MR",469,"INC","S","1122  E 7th ST ","POMONA",NA,"2.00 (0 0 0 0)","1,696","$271.23","$460,000","$468,000","$0.00","6,642",1961,60,2,"12/23/2019"
NA,19,"CV19214865MR",1543,"INC","S","1091   Nocta  ","ONTARIO",NA,"1.00 (0 0 0 0)","2,312","$227.08","$525,000","$525,000","","6,192",1955,9,3,"11/01/2019"
NA,1,"CV19216313MR",1543,"INC","S","1010   w Granada CT ","ONTARIO",NA,"2.00 (0 0 0 0)","1,650","$257.58","$425,000","$425,000","$0.00","5,712",1959,3,2,"10/01/2019"
NA,15,"CV19217168MR",469,"INC","S","1148  W Grand AVE ","POMONA",NA,"7.00 (0 0 0 0)","6,750","$340.74","$2,300,000","$2,200,000","$0.00","37,419",1968,70,11,"02/11/2020"
NA,4,"CV19219472MR",469,"INC","S","607  E Alvarado ST ","POMONA",4,"3.00 (3 0 0 0)","2,346","$221.65","$520,000","$525,000","$0.00","7,617",1894,12,NA,"10/17/2019"
NA,41,"CV19235616MR",487,"INC","S","535   Yale AVE ","CLAREMONT",NA,"2.00 (0 0 0 0)","1,455","$549.14","$799,000","$790,000","","7,500",1939,5,2,"10/31/2019"
NA,24,"CV19239895MR",487,"INC","S","757  W 1st ST ","CLAREMONT",NA,"3.00 (0 0 0 0)","1,450","$451.72","$655,000","$640,000","$310.00","32,006",2004,63,1,"03/05/2020"
NA,22,"CV19243722MR",1627,"INC","S","8183   San Bernardino RD ","RANCHO CUCAMONGA",2,"3.00 (1 1 1 0)","2,736","$237.57","$650,000","$600,000","$0.00","7,131",1979,17,NA,"01/07/2020"
NA,22,"CV19244552MR",1627,"INC","S","8183   San Bernardino RD ","RANCHO CUCAMONGA",2,"6.00 (1 1 1 0)","2,736","$237.57","$650,000","$600,000","$0.00","7,131",1979,17,2,"01/07/2020"
NA,11,"CV19247986MR",1795,"INC","S","1024  W Pine ST ","UPLAND",NA,"7.00 (0 0 0 0)","3,732","$304.13","$1,135,000","$975,000","","7,800",1970,67,4,"01/22/2020"
NA,12,"CV19248721MR",1543,"INC","S","560  W Vesta ST ","ONTARIO",NA,"2.00 (0 0 0 0)","4,352","$289.52","$1,260,000","$1,290,000","","16,011",1948,13,7,"12/17/2019"
NA,7,"CV19249164MR",1543,"INC","S","619  W Nevada ST ","ONTARIO",NA,"3.00 (0 0 0 0)","1,860","$348.92","$649,000","$625,000","$0.00","6,966",1977,11,3,"12/22/2019"
NA,4,"CV19249886MR",469,"INC","S","841  N Gibbs ST ","POMONA",NA,"3.00 (0 0 0 0)","2,121","$240.45","$510,000","$521,000","","7,526",1922,6,3,"12/05/2019"
NA,23,"CV19254298MR",1795,"INC","S","262  S 1st AVE ","UPLAND",NA,"2.00 (0 0 0 0)","1,668","$356.71","$595,000","$580,000","$0.00","7,000",1947,7,2,"11/29/2019"
NA,5,"CV19255040MR",469,"INC","S","1379  S Gibbs ST ","POMONA",NA,"4.00 (0 0 0 0)","3,360","$230.65","$775,000","$750,000","","19,852",1958,13,3,"12/20/2019"
NA,39,"CV19256051MR",487,"INC","S","471   Harrison AVE ","CLAREMONT",NA,"4.00 (0 0 0 0)","1,737","$515.26","$895,000","$925,000","","9,688",1927,5,2,"12/20/2019"
NA,4,"CV19256097MR",1795,"INC","S","1064  W Pine ST ","UPLAND",NA,"6.00 (0 0 0 0)","3,732","$261.25","$975,000","$950,000","","7,800",1971,3,4,"12/12/2019"
NA,23,"CV19258351MR",1795,"INC","S","935   Springfield ST ","UPLAND",NA,"5.00 (0 0 0 0)","4,028","$260.68","$1,050,000","$1,050,000","$0.00","7,800",1966,109,4,"02/25/2020"
NA,22,"CV19264930MR",1455,"INC","S","4265   Kingsley ST ","MONTCLAIR",NA,"4.00 (0 0 0 0)","3,994","$191.54","$765,000","$765,000","$0.00","7,128",1963,18,4,"01/08/2020"
NA,35,"CV19272692MR",1543,"INC","S","317  E Ralston ST #A-B","ONTARIO",NA,"4.00 (0 0 0 0)","3,521","$193.13","$680,000","$650,000","$0.00","6,200",1984,7,3,"01/07/2020"
NA,8,"CV19284002MR",469,"INC","S","285  W Center ST ","POMONA",NA,"9.00 (0 0 0 0)","5,625","$264.69","$1,488,888","$1,420,000","","7,481",1914,60,9,"03/09/2020"
NA,10,"CV20004958MR",469,"INC","S","2551   Yorkshire WAY ","POMONA",NA,"6.00 (0 0 0 0)","3,756","$206.07","$774,000","$790,000","","9,212",1964,91,3,"04/28/2020"
NA,10,"CV20005268MR",469,"INC","S","637  W 9th ST ","POMONA",NA,"2.00 (0 0 0 0)","1,604","$296.13","$475,000","$450,000","","5,128",1960,76,2,"04/24/2020"
NA,10,"CV20006418MR",1627,"INC","S","9659   Seasons DR ","RANCHO CUCAMONGA",NA,"4.00 (0 0 0 0)","3,440","$188.95","$650,000","$650,000","$176.00","7,488",2013,4,1,"03/03/2020"
NA,12,"CV20018690MR",469,"INC","S","1368  E Kingsley AVE #E","POMONA",NA,"6.00 (0 0 0 0)","4,917","$264.39","$1,300,000","$1,250,000","$0.00","9,049",1968,15,5,"04/02/2020"
NA,1,"CV20019988MR",469,"INC","S","259  W Willow ST ","POMONA",4,"3.00 (3 0 0 0)","1,771","$282.33","$500,000","$455,000","$0.00","7,503",1949,2,NA,"02/11/2020"
NA,NA,"CV20041511MR",1543,"INC","S","936  N Laurel AVE ","ONTARIO",NA,"2.00 (0 0 0 0)","1,721","$281.81","$485,000","$485,000","","7,152",1924,8,2,"04/27/2020"
NA,37,"CV20045849MR",1795,"INC","S","294  S Campus AVE ","UPLAND",NA,"2.00 (0 0 0 0)","1,757","$330.05","$579,900","$555,750","","7,800",1948,4,2,"04/07/2020"
NA,50,"CV20045966MR",487,"INC","S","338  W 6th ST ","CLAREMONT",NA,"5.00 (0 0 0 0)","2,638","$491.28","$1,296,000","$1,150,000","$0.00","10,550",1906,10,3,"10/02/2020"
NA,1,"CV20049595MR",469,"INC","S","751  S Towne AVE ","POMONA",NA,"4.00 (0 0 0 0)","2,360","$275.42","$650,000","$650,000","","7,442",1954,52,4,"08/24/2020"
NA,35,"CV20053688MR",487,"INC","S","338  W 6th ST ","CLAREMONT",4,"4.00 (3 1 0 0)","2,638","$491.28","$1,296,000","$1,150,000","$0.00","10,550",1906,10,NA,"10/02/2020"
NA,17,"CV20059643MR",1795,"INC","S","807  N 2nd AVE ","UPLAND",NA,"3.00 (0 0 0 0)","2,235","$245.64","$549,000","$550,000","$0.00","8,400",1950,35,2,"04/29/2020"
NA,39,"CV20061849MR",1795,"INC","S","1368  E 9th ST ","UPLAND",NA,"2.00 (0 0 0 0)","1,239","$402.65","$498,888","$477,700","","11,475",1948,75,3,"07/28/2020"
NA,25,"CV20062163MR",1795,"INC","S","1368  E 9th ST ","UPLAND",4,"2.00 (2 0 0 0)","1,239","$402.65","$498,888","$477,700","$0.00","11,475",1948,75,NA,"07/28/2020"
NA,31,"CV20072519MR",1543,"INC","S","561  W I ST ","ONTARIO",NA,"3.00 (0 0 0 0)","2,000","$249.95","$499,900","$475,000","$0.00","8,712",1941,104,3,"07/31/2020"
NA,36,"CV20073656MR",1543,"INC","S","1619  S Pleasant AVE ","ONTARIO",NA,"3.00 (0 0 0 0)","2,178","$321.35","$699,900","$699,000","$0.00","6,030",1952,89,2,"08/10/2020"
NA,35,"CV20074013MR",487,"INC","S","487  W 6th ST ","CLAREMONT",NA,"4.00 (0 0 0 0)","3,457","$390.08","$1,348,500","$1,348,500","$0.00","9,000",1928,11,2,"06/12/2020"
NA,30,"CV20074926MR",469,"INC","S","259  W Willow ST ","POMONA",NA,"3.00 (0 0 0 0)","1,771","$338.79","$599,990","$590,000","","7,503",1949,56,2,"05/20/2020"
NA,49,"CV20094889MR",1543,"INC","S","324  W H ST ","ONTARIO",7,"3.00 (3 0 0 0)","3,894","$171.80","$669,000","$669,000","$0.00","11,248",1916,57,NA,"11/11/2020"
NA,8,"CV20108510MR",469,"INC","S","235  E Franklin AVE ","POMONA",NA,"1.00 (0 0 0 0)","1,350","$406.67","$549,000","$490,000","$0.00","18,116",1957,63,1,"09/23/2020"
NA,25,"CV20115883MR",487,"INC","S","1120  N College AVE ","CLAREMONT",9,"7.00 (7 0 0 0)","5,056","$365.90","$1,850,000","$1,800,000","$0.00","15,000",1905,2,NA,"07/10/2020"
NA,25,"CV20115920MR",487,"INC","S","1120  N College AVE ","CLAREMONT",NA,"9.00 (0 0 0 0)","5,056","$365.90","$1,850,000","$1,800,000","$0.00","15,000",1905,2,3,"07/10/2020"
NA,42,"CV20117699MR",1627,"INC","S","9180   19th ST ","ALTA LOMA",5,"4.00 (0 0 0 0)","2,402","$332.22","$798,000","$789,000","$0.00","9,028",1958,32,2,"11/18/2020"
NA,34,"CV20120766MR",469,"INC","S","1180  N White AVE ","POMONA",3,"2.00 (0 0 0 0)","2,231","$336.17","$750,000","$660,000","$0.00","11,453",1946,27,2,"08/07/2020"
NA,65,"CV20136647MR",1543,"INC","S","542  W BELMONT ST ","ONTARIO",NA,"3.00 (0 0 0 0)","1,746","$323.60","$565,000","$575,000","$0.00","7,700",1960,9,2,"09/11/2020"
NA,3,"CV20145755MR",1795,"INC","S","2480   Electric AVE ","UPLAND",NA,"4.00 (0 0 0 0)","3,264","$290.75","$949,000","$910,000","$0.00","15,000",1962,231,3,"04/07/2021"
NA,24,"CV20149613MR",1543,"INC","S","329  W Ralston ST ","ONTARIO",NA,"2.00 (0 0 0 0)","1,436","$347.49","$498,999","$525,500","$0.00","8,586",1945,74,2,"04/01/2021"
NA,23,"CV20150984MR",1543,"INC","S","540  W D ST ","ONTARIO",NA,"1.00 (0 0 0 0)","6,264","$263.41","$1,650,000","$1,625,000","","22,572",1961,184,7,"04/15/2021"
NA,16,"CV20160414MR",1543,"INC","S","1215  S Bonita CT #4","ONTARIO",NA,"1.00 (0 0 0 0)","3,053","$266.92","$814,900","$775,000","$0.00","10,800",1962,75,4,"11/23/2020"
NA,13,"CV20160963MR",1543,"INC","S","423  W I ST ","ONTARIO",NA,"3.00 (0 0 0 0)","2,015","$322.08","$649,000","$650,000","","9,408",1953,62,3,"11/19/2020"
NA,11,"CV20169274MR",1455,"INC","S","10382   Lehigh AVE ","MONTCLAIR",NA,"2.00 (0 0 0 0)","1,800","$297.22","$535,000","$530,000","","7,254",1962,83,2,"01/21/2021"
NA,17,"CV20170034MR",1543,"INC","S","1024  W El Morado CT ","ONTARIO",NA,"4.00 (0 0 0 0)","2,674","$243.08","$650,000","$640,000","","8,320",1962,40,3,"11/17/2020"
NA,12,"CV20171955MR",1455,"INC","S","10382   Lehigh AVE ","MONTCLAIR",4,"2.00 (2 0 0 0)","1,800","$297.22","$535,000","$530,000","$0.00","7,254",1962,75,NA,"01/21/2021"
NA,1,"CV20183110MR",469,"INC","S","2417   HIGHLAND PNES ","POMONA",NA,"3.00 (0 0 0 0)","1,561","$304.29","$475,000","$460,000","","4,495",1991,63,1,"02/18/2021"
NA,16,"CV20187741MR",1455,"INC","S","4385   Kingsley ST ","MONTCLAIR",NA,"6.00 (0 0 0 0)","2,560","$253.87","$649,900","$625,000","$0.00","7,062",1978,16,2,"11/14/2020"
NA,25,"CV20191750MR",469,"INC","S","404   Chester PL ","POMONA",NA,"3.00 (0 0 0 0)","1,729","$341.18","$589,900","$620,000","$0.00","6,538",1938,13,3,"10/28/2020"
NA,8,"CV20194718MR",469,"INC","S","3844  E 9th ST ","POMONA",NA,"6.00 (0 0 0 0)","3,000","$331.67","$995,000","$950,000","","13,720",1944,16,6,"11/12/2020"
NA,6,"CV20194737MR",1543,"INC","S","527  S Laurel AVE ","ONTARIO",NA,"3.00 (0 0 0 0)","1,928","$337.14","$650,000","$625,000","","6,480",1909,8,3,"11/06/2020"
NA,29,"CV20208912MR",469,"INC","S","894   Washington AVE ","POMONA",NA,"2.00 (0 0 0 0)","1,327","$391.86","$520,000","$495,000","$0.00","6,770",1946,56,2,"01/04/2021"
NA,41,"CV20209786MR",1795,"INC","S","1509   Corte Hacienda  ","UPLAND",NA,"3.00 (0 0 0 0)","1,522","$239.82","$365,000","$367,000","$275.00","1,522",1982,7,1,"11/07/2020"
NA,31,"CV20214478MR",469,"INC","S","1191 1193 W 10th ST ","POMONA",NA,"2.00 (0 0 0 0)","1,570","$382.10","$599,900","$614,000","","7,000",1961,3,2,"12/10/2020"
NA,8,"CV20215693MR",1543,"INC","S","403  E Acacia ST ","ONTARIO",NA,"9.00 (0 0 0 0)","5,180","$337.84","$1,750,000","$1,750,000","","23,850",1950,9,9,"12/28/2020"
NA,5,"CV20219417MR",1795,"INC","S","969   Springfield ST ","UPLAND",NA,"7.00 (0 0 0 0)","4,028","$270.11","$1,088,000","$1,030,000","$0.00","7,800",1966,33,4,"02/12/2021"
NA,12,"CV20219664MR",1795,"INC","S","910  W Pine ST ","UPLAND",NA,"477.00 (0 0 0 0)","4,028","$273.09","$1,100,000","$1,050,000","$0.00","8,820",1967,5,4,"12/24/2020"
NA,12,"CV20220446MR",1543,"INC","S","324  W Park ST ","ONTARIO",NA,"5.00 (0 0 0 0)","4,360","$309.63","$1,350,000","$1,400,000","","10,220",1963,14,5,"12/14/2020"
NA,52,"CV20227809MR",1543,"INC","S","321  E F ST ","ONTARIO",6,"3.00 (3 0 0 0)","2,348","$313.03","$735,000","$707,300","$0.00","8,554",1953,59,NA,"02/04/2021"
NA,53,"CV20228160MR",1543,"INC","S","321  E F ST ","ONTARIO",NA,"3.00 (0 0 0 0)","2,348","$313.03","$735,000","$707,300","$0.00","8,554",1953,59,3,"02/04/2021"
NA,30,"CV20231677MR",1543,"INC","S","323  E Ralston ST ","ONTARIO",NA,"2.00 (0 0 0 0)","2,034","$285.15","$580,000","$595,000","$0.00","6,200",1981,8,2,"01/30/2021"
NA,11,"CV20234015MR",1543,"INC","S","947  E 6th ST ","ONTARIO",NA,"1.00 (0 0 0 0)","1,424","$431.88","$615,000","$585,000","$0.00","22,248",1947,45,1,"01/22/2021"
NA,7,"CV20234219MR",469,"INC","S","11108   Chico AVE ","POMONA",NA,"3.00 (0 0 0 0)","576","$485.94","$279,900","$225,000","$0.00","6,080",1945,98,3,"03/31/2021"
NA,6,"CV20240342MR",1627,"INC","S","10371   24th ST ","RANCHO CUCAMONGA",NA,"2.00 (0 0 0 0)","1,600","$374.38","$599,000","$575,000","","7,500",1961,19,2,"01/26/2021"
NA,8,"CV20245235MR",469,"INC","S","237   S Hamilton blvd ","POMONA",NA,"2.00 (0 0 0 0)","2,130","$274.65","$585,000","$595,000","","3,778",1913,60,2,"04/10/2021"
NA,26,"CV20245657MR",1795,"INC","S","1033   Springfield ST ","UPLAND",NA,"7.00 (0 0 0 0)","4,028","$273.09","$1,100,000","$1,105,000","$0.00","8,060",1965,81,4,"05/15/2021"
NA,38,"CV20250976MR",1543,"INC","S","217  E BELMONT  ","ONTARIO",NA,"4.00 (0 0 0 0)","2,070","$332.85","$689,000","$660,000","$0.00","5,913",2020,9,2,"01/25/2021"
NA,64,"CV20254469MR",1543,"INC","S","427  E 4th ST ","ONTARIO",NA,"3.00 (0 0 0 0)","2,501","$275.49","$689,000","$728,000","","7,952",1943,14,2,"01/15/2021"
NA,1,"CV20254570MR",469,"INC","S","1388  S Thomas ST ","POMONA",NA,"2.00 (0 0 0 0)","1,575","$346.03","$545,000","$545,000","$0.00","5,571",1963,2,2,"01/26/2021"
NA,23,"CV21000664MR",1543,"INC","S","902  E Deodar ST ","ONTARIO",NA,"4.00 (0 0 0 0)","3,480","$285.63","$994,000","$1,005,000","$0.00","13,100",1962,29,4,"05/11/2021"
NA,70,"CV21014495MR",1795,"INC","S","270  S 1st AVE ","UPLAND",4,"2.00 (2 0 0 0)","2,107","$289.46","$609,900","$610,000","$0.00","7,000",1952,3,NA,"02/12/2021"
NA,7,"CV21014982MR",1795,"INC","S","425  N 11th AVE ","UPLAND",NA,"3.00 (0 0 0 0)","9,425","$294.96","$2,780,000","$2,700,000","","14,416",1952,34,13,"04/30/2021"
NA,61,"CV21015805MR",469,"INC","S","329  E KINGSLEY  ","POMONA",NA,"3.00 (0 0 0 0)","2,080","$384.04","$798,800","$750,000","","9,897",1925,24,3,"04/05/2021"
NA,13,"CV21016515MR",469,"INC","S","1578  S Garey AVE ","POMONA",NA,"4.00 (0 0 0 0)","3,612","$232.28","$839,000","$815,000","","10,568",1963,35,4,"04/13/2021"
NA,17,"CV21023274MR",1795,"INC","S","14  W Arrow  ","UPLAND",NA,"3.00 (0 0 0 0)","2,201","$299.41","$659,000","$710,000","$0.00","6,808",1951,4,3,"03/29/2021"
NA,NA,"CV21026190MR",1795,"INC","S","438   silverwood  #4","UPLAND",NA,"8.00 (0 0 0 0)","4,000","$256.25","$1,025,000","$965,000","","8,712",1964,57,4,"05/21/2021"
NA,5,"CV21028608MR",469,"INC","S","1025   W 3RD AVE ","POMONA",NA,"3.00 (0 0 0 0)","2,261","$296.28","$669,900","$695,000","","6,468",1916,4,3,"03/21/2021"
NA,7,"CV21040696MR",1543,"INC","S","616   HOLT BLVD ","ONTARIO",NA,"2.00 (0 0 0 0)","1,454","$343.19","$499,000","$425,000","","5,053",1916,21,2,"05/11/2021"
NA,32,"CV21050894MR",1627,"INC","S","9420   LOMITA  ","RANCHO CUCAMONGA",4,"2.00 (2 0 0 0)","1,682","$386.44","$650,000","$650,000","$0.00","9,989",1956,6,NA,"04/30/2021"
